Time,Rocket_X,Rocket_Y,Rocket_Z
63.5,0.902383,-0.27766,0
63.6,0.90169,-0.277324,0
63.7,0.900994,-0.276987,0
63.8,0.900295,-0.276649,0
63.9,0.899592,-0.27631,0
64,0.898886,-0.27597,0
64.1,0.898177,-0.275629,0
64.2,0.897465,-0.275287,0
64.3,0.89675,-0.274944,0
64.4,0.896031,-0.2746,0
64.5,0.89531,-0.274255,0
64.6,0.894585,-0.273909,0
64.7,0.893857,-0.273562,0
64.8,0.893125,-0.273214,0
64.9,0.892391,-0.272865,0
65,0.891653,-0.272515,0
65.1,0.890912,-0.272165,0
65.2,0.890167,-0.271813,0
65.3,0.88942,-0.27146,0
65.4,0.888669,-0.271106,0
65.5,0.887915,-0.270751,0
65.6,0.887157,-0.270395,0
65.7,0.886397,-0.270038,0
65.8,0.885633,-0.269681,0
65.9,0.884865,-0.269322,0
66,0.884095,-0.268962,0
66.1,0.883321,-0.268601,0
66.2,0.882544,-0.268239,0
66.3,0.881763,-0.267876,0
66.4,0.880979,-0.267512,0
66.5,0.880192,-0.267147,0
66.6,0.879402,-0.266781,0
66.7,0.878608,-0.266415,0
66.8,0.877811,-0.266047,0
66.9,0.87701,-0.265678,0
67,0.876206,-0.265308,0
67.1,0.875399,-0.264937,0
67.2,0.874588,-0.264565,0
67.3,0.873774,-0.264192,0
67.4,0.872957,-0.263817,0
67.5,0.872136,-0.263442,0
67.6,0.871312,-0.263066,0
67.7,0.870484,-0.262689,0
67.8,0.869653,-0.262311,0
67.9,0.868819,-0.261932,0
68,0.867981,-0.261551,0
68.1,0.867139,-0.26117,0
68.2,0.866294,-0.260788,0
68.3,0.865446,-0.260404,0
68.4,0.864595,-0.26002,0
68.5,0.863739,-0.259635,0
68.6,0.862881,-0.259248,0
68.7,0.862019,-0.258861,0
68.8,0.861153,-0.258472,0
68.9,0.860284,-0.258082,0
69,0.859411,-0.257692,0
69.1,0.858535,-0.2573,0
69.2,0.857656,-0.256907,0
69.3,0.856772,-0.256513,0
69.4,0.855886,-0.256118,0
69.5,0.854996,-0.255722,0
69.6,0.854102,-0.255325,0
69.7,0.853204,-0.254927,0
69.8,0.852304,-0.254528,0
69.9,0.851399,-0.254128,0
70,0.850491,-0.253727,0
70.1,0.849579,-0.253324,0
70.2,0.848664,-0.252921,0
